epoch,step,train_loss,val_loss
0,49,0.02226606011390686,
0,99,0.01657142862677574,
0,149,0.013459242880344391,
0,199,0.010592197999358177,
0,249,0.009757880121469498,
0,299,0.008334798738360405,
0,349,0.008084638975560665,
0,399,0.006748930551111698,
0,449,0.007519184611737728,
0,499,0.005891752894967794,
0,549,0.005802378058433533,
0,599,0.004671252332627773,
0,649,0.005604512523859739,
0,699,0.005631487816572189,
0,725,,0.0027809098828583956
1,749,0.005648126360028982,
1,799,0.004237017594277859,
1,849,0.004586828872561455,
1,899,0.004002884961664677,
1,949,0.004254047758877277,
1,999,0.007084331475198269,
1,1049,0.004097172990441322,
1,1099,0.004295624326914549,
1,1149,0.0036969257052987814,
1,1199,0.0034167380072176456,
1,1249,0.0030037329997867346,
1,1299,0.004183555953204632,
1,1349,0.0027730781584978104,
1,1399,0.003293404821306467,
1,1449,0.003410592209547758,
1,1451,,0.002705051563680172
2,1499,0.0032914145849645138,
2,1549,0.0032552003394812346,
2,1599,0.002155907917767763,
2,1649,0.0028614846523851156,
2,1699,0.0033023692667484283,
2,1749,0.002866307971999049,
2,1799,0.005201876163482666,
2,1849,0.0028465348295867443,
2,1899,0.002570049837231636,
2,1949,0.002739916555583477,
2,1999,0.002925366163253784,
2,2049,0.0036490883212536573,
2,2099,0.0034792101942002773,
2,2149,0.002411403227597475,
2,2177,,0.0018702533561736345
3,2199,0.0021057440899312496,
3,2249,0.0020731089171022177,
3,2299,0.0029287184588611126,
3,2349,0.0028808321803808212,
3,2399,0.0020449263975024223,
3,2449,0.001856854883953929,
3,2499,0.00660435575991869,
3,2549,0.0025501116178929806,
3,2599,0.002182903466746211,
3,2649,0.0023513315245509148,
3,2699,0.001404570764862001,
3,2749,0.0070894337259233,
3,2799,0.002462025498971343,
3,2849,0.002641368191689253,
3,2899,0.002472491469234228,
3,2903,,0.0012328942539170384
4,2949,0.0019782334566116333,
4,2999,0.0020958450622856617,
4,3049,0.002043199259787798,
4,3099,0.0020406541880220175,
4,3149,0.0017084390856325626,
4,3199,0.00211416557431221,
4,3249,0.001695276121608913,
4,3299,0.0017117212992161512,
4,3349,0.001965195406228304,
4,3399,0.002073862822726369,
4,3449,0.0020903758704662323,
4,3499,0.0015193140134215355,
4,3549,0.0018427358008921146,
4,3599,0.0016202809056267142,
4,3629,,0.0011970282066613436
5,3649,0.0018379034008830786,
5,3699,0.0012624537339434028,
5,3749,0.0019790763035416603,
5,3799,0.0017546599265187979,
5,3849,0.002765316516160965,
5,3899,0.0017700492171570659,
5,3949,0.0011108359321951866,
5,3999,0.002394150011241436,
5,4049,0.00175358890555799,
5,4099,0.0018393287900835276,
5,4149,0.0011931913904845715,
5,4199,0.0018582013435661793,
5,4249,0.0014885300770401955,
5,4299,0.0012369751930236816,
5,4349,0.001530702575109899,
5,4355,,0.0013227666495367885
6,4399,0.001277140574529767,
6,4449,0.0022182902321219444,
6,4499,0.0013055040035396814,
6,4549,0.0010120845399796963,
6,4599,0.0010689528426155448,
6,4649,0.0019252452766522765,
6,4699,0.0010991172166541219,
6,4749,0.0009828974725678563,
6,4799,0.0011823647655546665,
